name,price_vnd,category,size,ingredients,description
Trà lài (Size L),53000,tea,L,Xem mô tả,"Trà ướp hoa lài thơm nhẹ, vị thanh tao."
Trà quất mật ong (Size S),42000,tea,S,Xem mô tả,"Trà quất chua nhẹ hòa mật ong, tốt cho họng."
Trà quất mật ong (Size M),46000,tea,M,Xem mô tả,"Trà quất chua nhẹ hòa mật ong, tốt cho họng."
Trà quất mật ong (Size L),52000,tea,L,Xem mô tả,"Trà quất chua nhẹ hòa mật ong, tốt cho họng."
Trà dâu tằm (Size S),42000,tea,S,Xem mô tả,"Trà dâu tằm ngọt thanh, màu sắc bắt mắt."
Trà dâu tằm (Size M),46000,tea,M,Xem mô tả,"Trà dâu tằm ngọt thanh, màu sắc bắt mắt."
Trà dâu tằm (Size L),52000,tea,L,Xem mô tả,"Trà dâu tằm ngọt thanh, màu sắc bắt mắt."
Trà xoài (Size S),44000,tea,S,Xem mô tả,Trà trái cây vị xoài chín ngọt đậm.
Trà xoài (Size M),48000,tea,M,Xem mô tả,Trà trái cây vị xoài chín ngọt đậm.
Trà xoài (Size L),54000,tea,L,Xem mô tả,Trà trái cây vị xoài chín ngọt đậm.
Freeze trà xanh (Size S),45000,freeze,S,Xem mô tả,"Đá xay trà xanh, vị ngọt béo, mát lạnh."
Freeze trà xanh (Size M),49000,freeze,M,Xem mô tả,"Đá xay trà xanh, vị ngọt béo, mát lạnh."
Freeze trà xanh (Size L),55000,freeze,L,Xem mô tả,"Đá xay trà xanh, vị ngọt béo, mát lạnh."
Freeze cà phê (Size S),48000,freeze,S,Xem mô tả,"Đá xay cà phê, phủ kem tươi, đậm vị."
Freeze cà phê (Size M),52000,freeze,M,Xem mô tả,"Đá xay cà phê, phủ kem tươi, đậm vị."
Freeze cà phê (Size L),58000,freeze,L,Xem mô tả,"Đá xay cà phê, phủ kem tươi, đậm vị."
Freeze socola (Size S),48000,freeze,S,Xem mô tả,"Đá xay socola nguyên chất, phủ kem tươi."
Freeze socola (Size M),52000,freeze,M,Xem mô tả,"Đá xay socola nguyên chất, phủ kem tươi."
Freeze socola (Size L),58000,freeze,L,Xem mô tả,"Đá xay socola nguyên chất, phủ kem tươi."
Freeze việt quất (Size S),46000,freeze,S,Xem mô tả,"Đá xay việt quất chua ngọt, phủ kem tươi."
Freeze việt quất (Size M),50000,freeze,M,Xem mô tả,"Đá xay việt quất chua ngọt, phủ kem tươi."
Freeze việt quất (Size L),56000,freeze,L,Xem mô tả,"Đá xay việt quất chua ngọt, phủ kem tươi."
Freeze matcha (Size S),48000,freeze,S,Xem mô tả,"Đá xay matcha Nhật Bản, vị đắng nhẹ, béo mịn."
Freeze matcha (Size M),52000,freeze,M,Xem mô tả,"Đá xay matcha Nhật Bản, vị đắng nhẹ, béo mịn."
Freeze matcha (Size L),58000,freeze,L,Xem mô tả,"Đá xay matcha Nhật Bản, vị đắng nhẹ, béo mịn."
Freeze dâu (Size S),45000,freeze,S,Xem mô tả,"Đá xay dâu tây tươi, vị chua ngọt hài hòa."
Freeze dâu (Size M),49000,freeze,M,Xem mô tả,"Đá xay dâu tây tươi, vị chua ngọt hài hòa."
Freeze dâu (Size L),55000,freeze,L,Xem mô tả,"Đá xay dâu tây tươi, vị chua ngọt hài hòa."
Freeze caramel (Size S),49000,freeze,S,Xem mô tả,"Đá xay sốt caramel béo ngọt, phủ kem tươi."
Freeze caramel (Size M),53000,freeze,M,Xem mô tả,"Đá xay sốt caramel béo ngọt, phủ kem tươi."
Freeze caramel (Size L),59000,freeze,L,Xem mô tả,"Đá xay sốt caramel béo ngọt, phủ kem tươi."
Freeze chanh dây (Size S),46000,freeze,S,Xem mô tả,"Đá xay chanh dây chua thanh, giải khát mùa hè."
Freeze chanh dây (Size M),50000,freeze,M,Xem mô tả,"Đá xay chanh dây chua thanh, giải khát mùa hè."
Freeze chanh dây (Size L),56000,freeze,L,Xem mô tả,"Đá xay chanh dây chua thanh, giải khát mùa hè."
Bánh croissant bơ,36500,pastry,Freesize,Xem mô tả,"Bánh sừng bò lớp vỏ giòn, nhân bơ thơm béo."
Bánh mì que pate,35000,pastry,Freesize,Xem mô tả,"Bánh mì que giòn kèm pate béo, ăn kèm cà phê rất hợp."
Bánh tiramisu,36500,pastry,Freesize,Xem mô tả,"Bánh tiramisu vị cà phê, kem mascarpone mềm mịn."
Bánh phô mai nướng,38000,pastry,Freesize,Xem mô tả,"Bánh phô mai Nhật, mềm xốp, béo nhẹ."
Cookie socola chip,38000,pastry,Freesize,Xem mô tả,"Bánh quy bơ giòn, socola chip tan chảy."
Bánh su kem trà xanh,35000,pastry,Freesize,Xem mô tả,"Vỏ bánh giòn, nhân kem trà xanh béo mịn."
Bánh croissant socola,36500,pastry,Freesize,Xem mô tả,Bánh sừng bò nhân socola tan chảy bên trong.
Bánh muffin việt quất,36500,pastry,Freesize,Xem mô tả,"Bánh muffin mềm xốp, nhân việt quất chua ngọt."
Bánh donut đường,35000,pastry,Freesize,Xem mô tả,Bánh donut chiên phủ lớp đường mịn.
Bánh mì chả cá,38000,pastry,Freesize,Xem mô tả,"Bánh mì giòn kèm chả cá đậm đà, ăn sáng tiện lợi."
Combo sáng: Cà phê sữa đá + Bánh mì que,55000,combo,Freesize,Xem mô tả,"Combo sáng tiết kiệm, năng lượng cho ngày mới."
Combo chiều: Trà đào + Bánh phô mai,65000,combo,Freesize,Xem mô tả,"Combo giải khát buổi chiều, ngọt nhẹ."
Freeze dâu mùa hè,52000,freeze,Freesize,Xem mô tả,"Đá xay dâu tây tươi, vị chua ngọt mùa hè."
Trà ổi hồng,47000,tea,Freesize,Xem mô tả,Trà trái cây vị ổi hồng lạ miệng.
Cà phê dừa,45000,coffee,Freesize,Xem mô tả,Cà phê phin kết hợp nước cốt dừa béo mịn.
Bánh su kem,32000,pastry,Freesize,Xem mô tả,"Vỏ bánh giòn nhẹ, nhân kem sữa mịn."
